,BUYS,BUYS,BUYS,BUYS,SELLS,SELLS,SELLS,SELLS,DIFF (%),PROFIT $
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME,DIFF (%),PROFIT $
80,AAPL,182, $79.58 ,"January 24, 2020 at 12:00:00 AM",AAPL,182, $77.51 ,"January 27, 2020 at 12:00:00 AM",-2.591813032,-375.375
81,AAPL,182, $77.24 ,"January 27, 2020 at 12:00:00 AM",AAPL,182, $76.07 ,"February 03, 2020 at 12:00:00 AM",-1.505105755,-211.5761108
82,QCOM,160, $86.48 ,"February 03, 2020 at 12:00:00 AM",QCOM,160, $90.99 ,"February 05, 2020 at 12:00:00 AM",5.215072077,721.5991211
83,QCOM,160, $90.91 ,"February 05, 2020 at 12:00:00 AM",QCOM,160, $88.06 ,"February 06, 2020 at 12:00:00 AM",-3.134975238,-456.0009766
84,QCOM,156, $90.61 ,"February 06, 2020 at 12:00:00 AM",QCOM,156, $89.62 ,"February 07, 2020 at 12:00:00 AM",-1.092592271,-154.4396667
85,QCOM,160, $87.42 ,"February 07, 2020 at 12:00:00 AM",QCOM,160, $86.78 ,"February 10, 2020 at 12:00:00 AM",-0.732097235,-102.3999023
86,AAPL,172, $80.39 ,"February 10, 2020 at 12:00:00 AM",AAPL,172, $80.37 ,"February 12, 2020 at 12:00:00 AM",-0.024875315,-3.439422607
87,AAPL,169, $81.80 ,"February 12, 2020 at 12:00:00 AM",AAPL,169, $81.05 ,"February 13, 2020 at 12:00:00 AM",-0.919929601,-127.1729126
88,AAPL,169, $81.22 ,"February 13, 2020 at 12:00:00 AM",AAPL,169, $81.18 ,"February 14, 2020 at 12:00:00 AM",-0.04001751,-5.492706299
89,AAPL,169, $81.24 ,"February 14, 2020 at 12:00:00 AM",AAPL,169, $78.84 ,"February 18, 2020 at 12:00:00 AM",-2.951231419,-405.1786346
90,AAPL,167, $79.75 ,"February 18, 2020 at 12:00:00 AM",AAPL,167, $79.65 ,"February 21, 2020 at 12:00:00 AM",-0.119123788,-15.86520386
91,AAPL,170, $78.26 ,"February 21, 2020 at 12:00:00 AM",AAPL,170, $74.32 ,"February 24, 2020 at 12:00:00 AM",-5.043915874,-671.0740662
92,AAPL,170, $74.54 ,"February 24, 2020 at 12:00:00 AM",AAPL,170, $71.63 ,"February 26, 2020 at 12:00:00 AM",-3.907034068,-495.1247406
