,BUYS,,,,SELLS,,,
,STOCK,SHARES,PRICE,TIME,STOCK,SHARES,PRICE,TIME
158,AAPL,233,69.86000061,"December 20, 2019 at 12:00:00 AM",AAPL,233,71.17250061,"December 24, 2019 at 12:00:00 AM"
159,AAPL,234,71.06749725,"December 24, 2019 at 12:00:00 AM",AAPL,234,72.77999878,"December 27, 2019 at 12:00:00 AM"
160,AAPL,235,72.44999695,"December 27, 2019 at 12:00:00 AM",AAPL,235,74.05999756,"January 02, 2020 at 12:00:00 AM"
161,MSFT,108,160.6199951,"January 02, 2020 at 12:00:00 AM",MSFT,108,161.8399963,"January 09, 2020 at 12:00:00 AM"
162,AAPL,226,77.40750122,"January 09, 2020 at 12:00:00 AM",AAPL,226,77.91000366,"January 13, 2020 at 12:00:00 AM"
163,AAPL,225,78.16999817,"January 14, 2020 at 12:00:00 AM",AAPL,225,79.06749725,"January 17, 2020 at 12:00:00 AM"
164,AAPL,224,79.68250275,"January 17, 2020 at 12:00:00 AM",AAPL,224,81.11250305,"January 29, 2020 at 12:00:00 AM"
165,AAPL,224,81.08499908,"January 29, 2020 at 12:00:00 AM",AAPL,224,66.22250366,"March 13, 2020 at 12:00:00 AM"
166,AAPL,245,60.55250168,"March 16, 2020 at 12:00:00 AM",AAPL,245,61.87749863,"March 17, 2020 at 12:00:00 AM"
167,MSFT,108,140.3999939,"March 18, 2020 at 12:00:00 AM",MSFT,108,142.7700043,"March 19, 2020 at 12:00:00 AM"
168,QCOM,253,60.90999985,"March 20, 2020 at 12:00:00 AM",QCOM,253,61.54999924,"March 23, 2020 at 12:00:00 AM"
169,QCOM,238,65.45999908,"March 24, 2020 at 12:00:00 AM",QCOM,238,65.90000153,"March 25, 2020 at 12:00:00 AM"
170,AAPL,255,61.38000107,"March 25, 2020 at 12:00:00 AM",AAPL,255,63.1875,"March 27, 2020 at 12:00:00 AM"
171,AAPL,260,61.93500137,"March 27, 2020 at 12:00:00 AM",AAPL,260,62.68500137,"March 30, 2020 at 12:00:00 AM"
172,AAPL,257,63.57249832,"March 31, 2020 at 12:00:00 AM",AAPL,257,67.69999695,"April 07, 2020 at 12:00:00 AM"
173,AAPL,268,64.85749817,"April 07, 2020 at 12:00:00 AM",AAPL,268,65.68499756,"April 08, 2020 at 12:00:00 AM"
174,AAPL,263,66.99749756,"April 09, 2020 at 12:00:00 AM",AAPL,263,70,"April 14, 2020 at 12:00:00 AM"
175,AAPL,256,71.76249695,"April 14, 2020 at 12:00:00 AM",AAPL,256,72.48999786,"April 30, 2020 at 12:00:00 AM"
176,AAPL,253,73.44999695,"April 30, 2020 at 12:00:00 AM",AAPL,253,75.11499786,"May 06, 2020 at 12:00:00 AM"
