,BUYS,,,,SELLS,,,
203,AAPL,546,54.97249985,"September 26, 2019 at 12:00:00 AM",AAPL,546,56.26750183,"October 01, 2019 at 12:00:00 AM"
204,AAPL,547,56.14749908,"October 01, 2019 at 12:00:00 AM",AAPL,547,56.75749969,"October 09, 2019 at 12:00:00 AM"
205,MSFT,223,139.1000061,"October 10, 2019 at 12:00:00 AM",MSFT,223,140.7899933,"October 16, 2019 at 12:00:00 AM"
206,MSFT,224,140.4100037,"October 16, 2019 at 12:00:00 AM",MSFT,224,144.3999939,"October 28, 2019 at 12:00:00 AM"
207,AAPL,519,62.26250076,"October 28, 2019 at 12:00:00 AM",AAPL,519,64.33249664,"November 04, 2019 at 12:00:00 AM"
208,QCOM,392,85.08999634,"November 04, 2019 at 12:00:00 AM",QCOM,392,89.83000183,"November 07, 2019 at 12:00:00 AM"
209,JNJ,268,131.4299927,"November 07, 2019 at 12:00:00 AM",JNJ,268,134.2200012,"November 18, 2019 at 12:00:00 AM"
210,AAPL,539,66.77500153,"November 18, 2019 at 12:00:00 AM",AAPL,539,67.5,"December 09, 2019 at 12:00:00 AM"
211,MSFT,240,151.3600006,"December 09, 2019 at 12:00:00 AM",MSFT,240,153,"December 13, 2019 at 12:00:00 AM"
212,CSCO,812,45.29999924,"December 13, 2019 at 12:00:00 AM",CSCO,812,45.79999924,"December 16, 2019 at 12:00:00 AM"
213,TMUS,493,75.47000122,"December 16, 2019 at 12:00:00 AM",TMUS,493,77.93000031,"December 20, 2019 at 12:00:00 AM"
214,AAPL,550,69.86000061,"December 20, 2019 at 12:00:00 AM",AAPL,550,71.17250061,"December 24, 2019 at 12:00:00 AM"
215,AAPL,551,71.06749725,"December 24, 2019 at 12:00:00 AM",AAPL,551,72.77999878,"December 27, 2019 at 12:00:00 AM"
216,AAPL,553,72.44999695,"December 27, 2019 at 12:00:00 AM",AAPL,553,74.05999756,"January 02, 2020 at 12:00:00 AM"
217,MSFT,255,160.6199951,"January 02, 2020 at 12:00:00 AM",MSFT,255,162.8200073,"January 10, 2020 at 12:00:00 AM"
218,QCOM,460,90.26000214,"January 10, 2020 at 12:00:00 AM",QCOM,460,93,"January 17, 2020 at 12:00:00 AM"
219,AAPL,537,79.68250275,"January 17, 2020 at 12:00:00 AM",AAPL,537,81.11250305,"January 29, 2020 at 12:00:00 AM"
220,AAPL,537,81.08499908,"January 29, 2020 at 12:00:00 AM",AAPL,537,60.70000076,"April 03, 2020 at 12:00:00 AM"
221,AAPL,540,60.35250092,"April 03, 2020 at 12:00:00 AM",AAPL,540,62.72499847,"April 06, 2020 at 12:00:00 AM"
222,AAPL,523,64.85749817,"April 07, 2020 at 12:00:00 AM",AAPL,523,65.68499756,"April 08, 2020 at 12:00:00 AM"
223,AAPL,512,66.99749756,"April 09, 2020 at 12:00:00 AM",AAPL,512,70,"April 14, 2020 at 12:00:00 AM"
224,AAPL,500,71.76249695,"April 14, 2020 at 12:00:00 AM",AAPL,500,72.48999786,"April 30, 2020 at 12:00:00 AM"
225,AAPL,493,73.44999695,"April 30, 2020 at 12:00:00 AM",AAPL,493,75.11499786,"May 06, 2020 at 12:00:00 AM"
226,JNJ,250,148.0800018,"May 06, 2020 at 12:00:00 AM",JNJ,250,150.1000061,"May 12, 2020 at 12:00:00 AM"
227,MSFT,205,182.5099945,"May 12, 2020 at 12:00:00 AM",MSFT,205,185.75,"May 18, 2020 at 12:00:00 AM"
228,AMD,678,56.38999939,"May 20, 2020 at 12:00:00 AM",AMD,678,57.20000076,"June 10, 2020 at 12:00:00 AM"
229,AMD,675,57.43999863,"June 10, 2020 at 12:00:00 AM",AMD,675,61.63000107,"July 23, 2020 at 12:00:00 AM"
230,AAPL,448,92.84500122,"July 23, 2020 at 12:00:00 AM",AAPL,448,94.36750031,"July 28, 2020 at 12:00:00 AM"
231,QCOM,462,91.44999695,"July 28, 2020 at 12:00:00 AM",QCOM,462,102.4199982,"July 30, 2020 at 12:00:00 AM"
232,AAPL,492,96.19000244,"July 30, 2020 at 12:00:00 AM",AAPL,492,102.8850021,"July 31, 2020 at 12:00:00 AM"
233,INTC,1061,47.72999954,"July 31, 2020 at 12:00:00 AM",INTC,1061,48.27000046,"August 03, 2020 at 12:00:00 AM"
234,QCOM,461,110.9499969,"August 04, 2020 at 12:00:00 AM",QCOM,461,116.1999969,"August 13, 2020 at 12:00:00 AM"
235,AAPL,466,115.0100021,"August 13, 2020 at 12:00:00 AM",AAPL,466,119.2624969,"August 21, 2020 at 12:00:00 AM"
236,AAPL,447,124.3700027,"August 21, 2020 at 12:00:00 AM",AAPL,447,128.6974945,"August 24, 2020 at 12:00:00 AM"
237,INTC,1171,49.13999939,"August 24, 2020 at 12:00:00 AM",INTC,1171,49.79000092,"August 27, 2020 at 12:00:00 AM"
238,PEP,421,138.3999939,"August 27, 2020 at 12:00:00 AM",PEP,421,140.25,"September 01, 2020 at 12:00:00 AM"
239,AAPL,440,134.1799927,"September 01, 2020 at 12:00:00 AM",AAPL,440,137.5899963,"September 02, 2020 at 12:00:00 AM"
240,MSFT,261,231.6499939,"September 02, 2020 at 12:00:00 AM",MSFT,261,222.2599945,"November 06, 2020 at 12:00:00 AM"
241,T,2119,27.44000053,"November 06, 2020 at 12:00:00 AM",T,2119,28.23999977,"November 09, 2020 at 12:00:00 AM"
242,AMD,720,83.12000275,"November 09, 2020 at 12:00:00 AM",AMD,720,85.27999878,"November 20, 2020 at 12:00:00 AM"
243,AAPL,523,117.3399963,"November 20, 2020 at 12:00:00 AM",AAPL,523,121.0100021,"December 01, 2020 at 12:00:00 AM"
244,QCOM,418,151.2599945,"December 01, 2020 at 12:00:00 AM",QCOM,418,158.5500031,"December 07, 2020 at 12:00:00 AM"
245,MSFT,309,214.2899933,"December 07, 2020 at 12:00:00 AM",MSFT,309,219.8699951,"December 17, 2020 at 12:00:00 AM"
246,MSFT,310,219.4199982,"December 17, 2020 at 12:00:00 AM",MSFT,310,222.6900024,"December 22, 2020 at 12:00:00 AM"
247,AAPL,524,131.8800049,"December 22, 2020 at 12:00:00 AM",AAPL,524,133.9900055,"December 28, 2020 at 12:00:00 AM"
248,AAPL,513,136.6900024,"December 28, 2020 at 12:00:00 AM",AAPL,513,143.0700073,"January 25, 2021 at 12:00:00 AM"
249,T,2524,29.11000061,"January 25, 2021 at 12:00:00 AM",T,2524,29.54999924,"February 18, 2021 at 12:00:00 AM"
250,MSFT,306,243.7899933,"February 18, 2021 at 12:00:00 AM",,,,
