,,,,,,,,Death Cross Shooting Star & Golden Cross Strategy Results,,,,,,,,,,,
,Shortlist,Tickers Traded,Entry Point Price,Exit Point Price,Shares Traded,Earnings ($),Earnings (%),Exit Strategy (Loss %),Exit Strategy (Win %),Exit Strategy (Time),Trading Period,Trading Start Date,Trading End Date,Trading Intervals,Account Value,Number of Stocks Traded,Profit (%),Annual Return (%),Mean Annual Return (%),Profit ($),Win Rate
33,,MSFT,30.899999618530273,30.899999618530273,300.0,0.0,0.0,,,,,,,,,,,,,,
34,,AAPL,4.054999828338623,4.087500095367432,2291.0,0.032500267028808594,0.8014862738508254,,,,,,,,,,,,,,
35,,AAPL,4.083929061889648,4.288214206695557,2293.0,0.2042851448059082,5.002171725073617,,,,,,,,,,,,,,
36,,QCOM,42.95000076293945,43.529998779296875,229.0,0.5799980163574219,1.35040280804346,,,,,,,,,,,,,,
37,,QCOM,42.77000045776367,43.040000915527344,233.0,0.2700004577636719,0.6312846735419219,,,,,,,,,,,,,,
38,,TXN,36.86000061035156,37.22999954223633,272.0,0.3699989318847656,1.003795240797845,,,,,,,,,,,,,,
39,,KO,25.69499969482422,26.024999618530273,394.0,0.3299999237060547,1.2842962740821788,,,,,,,,,,,,,,
40,,AAPL,4.392857074737549,4.435357093811035,2336.0,0.04250001907348633,0.9674801239925497,,,,,,,,,,,,,,
41,,JNJ,61.11000061035156,61.5,169.0,0.3899993896484375,0.6381924165492066,,,,,,,,,,,,,,
42,,TXN,37.7400016784668,37.93000030517578,276.0,0.18999862670898438,0.503440959880485,,,,,,,,,,,,,,
43,,JNJ,61.619998931884766,61.939998626708984,170.0,0.31999969482421875,0.5193114254642376,,,,,,,,,,,,,,
44,,QCOM,43.93000030517578,44.9900016784668,239.0,1.0600013732910156,2.4129327701509884,,,,,,,,,,,,,,
45,,AAPL,4.918929100036621,5.010714054107666,2193.0,0.09178495407104492,1.8659539953597135,,,,,,,,,,,,,,
46,,AAPL,5.0,5.058928966522217,2197.0,0.0589289665222168,1.178579330444336,,,,,,,,,,,,,,
47,,AAPL,5.1339287757873535,5.211071014404297,2165.0,0.07714223861694336,1.502596588031407,,,,,,,,,,,,,,
48,,MSFT,29.979999542236328,29.459999084472656,376.0,-0.5200004577636719,-1.734491213153911,,,,,,,,,,,,,,
